Region,Sub Region,Country,Year,download,Indicator,Indicator Name,Numero di record,Value
Europe,Western Europe,Netherlands,2016,,7.1,Total detected victims,1,952
Europe,Eastern Europe,Hungary,2017,,7.1,Total detected victims,1,386
Europe,Eastern Europe,Poland,2017,,7.1,Total detected victims,1,94
Europe,Eastern Europe,Romania,2017,,7.1,Total detected victims,1,334
Europe,Eastern Europe,Slovakia,2017,,7.1,Total detected victims,1,88
Europe,Northern Europe,Estonia,2017,,7.1,Total detected victims,1,10
Europe,Northern Europe,Finland,2017,,7.1,Total detected victims,1,56
Europe,Northern Europe,Latvia,2017,,7.1,Total detected victims,1,20
Europe,Southern Europe,Greece,2017,,7.1,Total detected victims,1,26
Europe,Southern Europe,Slovenia,2017,,7.1,Total detected victims,1,25
Europe,Western Europe,Luxembourg,2017,,7.1,Total detected victims,1,16
Europe,Western Europe,Netherlands,2017,,7.1,Total detected victims,1,952
